Bilmerke,Modell,Årsmodell,Kilometerstand,Pris,Tilstand
Toyota,Corolla,2015,75000,150000,brukt
BMW,3-serie,2018,30000,280000,brukt
Ford,Fiesta,2012,100000,70000,brukt
Tesla,Model 3,2023,200,400000,ny
Audi,A4,2017,50000,240000,brukt
Audi,A6,2023,11000,360000,ny
Volkswagen,Passat,2019,35000,270000,brukt
Audi,A4,2018,59000,259000,brukt
Audi,A4,2022,41000,220000,brukt
Volkswagen,Golf,2019,25000,220000,ny
Hyundai,i30,2016,60000,140000,brukt
Nissan,Leaf,2024,150,350000,ny
Mercedes,B-klasse,2023,200,320000,ny
Skoda,Octavia,2014,85000,130000,brukt
Porsche,Macan,2022,13000,540000,ny
Lexus,RX,2023,12000,450000,ny
Volvo,V40,2018,45000,270000,brukt
Kia,Sportage,2024,100,290000,ny
Skoda,Octavia,2015,88000,142000,brukt
Mazda,CX-5,2017,55000,260000,brukt
Honda,Civic,2013,90000,110000,brukt
Chevrolet,Malibu,2016,60000,160000,brukt
Toyota,Corolla,2017,79000,180000,brukt
Subaru,Outback,2024,300,280000,ny
Peugeot,208,2015,80000,120000,brukt
Skoda,Octavia,2015,77000,129000,brukt
Renault,Clio,2024,300,180000,ny
Volkswagen,Passat,2020,35000,295000,brukt
Mitsubishi,ASX,2016,70000,150000,brukt
Opel,Astra,2018,40000,190000,brukt
Fiat,Panda,2014,100000,90000,brukt
Jeep,Renegade,2024,100,450000,ny
Toyota,Corolla,2020,62000,199000,brukt
Jeep,Renegade,2023,100,360000,ny
Porsche,Macan,2023,15000,540000,ny
Lexus,RX,2023,200,450000,ny
Toyota,Corolla,2023,4500,350000,ny
Jaguar,XF,2017,30000,380000,brukt
Citroën,C3,2015,75000,130000,brukt
Alfa Romeo,Giulia,2024,250,410000,ny
Land Rover,Discovery,2018,50000,520000,brukt
Mini,Cooper,2016,65000,170000,brukt
Porsche,Macan,2024,100,600000,ny
Toyota,Corolla,2022,71000,183000,brukt
Land Rover,Discovery,2019,57000,510000,brukt
Suzuki,Swift,2015,70000,120000,brukt
Dacia,Duster,2017,50000,140000,brukt
Tesla,Model S,2024,150,750000,ny
Ford,Kuga,2018,35000,280000,brukt
Hyundai,Kona,2024,150,270000,ny
Nissan,Qashqai,2016,80000,170000,brukt
Dacia,Duster,2019,44000,120000,brukt
Audi,Q5,2024,250,500000,ny
Mazda,MX-5,2024,100,380000,ny
Volkswagen,Passat,2017,55000,250000,brukt
Volvo,XC60,2024,200,470000,ny
Volkswagen,Passat,2019,51000,222000,brukt
Peugeot,3008,2018,40000,230000,brukt
Mercedes,E-klasse,2017,45000,350000,brukt
